"nome","sexo","total","ano"
"James","M","86221","1950"
"Robert","M","83540","1950"
"Linda","F","80431","1950"
"David","M","85931","1960"
"Michael","M","84206","1960"
"James","M","76872","1960"
"Michael","M","85321","1970"
"David","M","61776","1970"
"James","M","61775","1970"
"Michael","M","68666","1980"
"Jennifer","F","58385","1980"
"Christopher","M","49086","1980"
"Michael","M","65274","1990"
"Christopher","M","52323","1990"
"Jessica","F","46466","1990"
"Jacob","M","34465","2000"
"Michael","M","32025","2000"
"Matthew","M","28569","2000"
"Isabella","F","22883","2010"
"Jacob","M","22082","2010"
"Sophia","F","20612","2010"
